"소재지(시군구)별(1)","시점",계,계,공연장,공연장,박물관,박물관,미술관,미술관,과학관,과학관,문화산업단지,문화산업단지,문화산업진흥시설,문화산업진흥시설,지방문화원,지방문화원,문화예술진흥시설,문화예술진흥시설,전시시설,전시시설,국제회의시설,국제회의시설,공공도서관,공공도서관,전문도서관,전문도서관
"소재지(시군구)별(1)","시점",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"인천광역시","2009",19,218364,2,22529,0,0,0,0,1,21706,0,0,0,0,1,266,15,173863,-,-,-,-,-,-,-,-
"인천광역시","2010",32,286468,2,22529,0,0,0,0,1,21706,0,0,0,0,1,266,28,241967,-,-,-,-,-,-,-,-
"인천광역시","2011",36,437706,2,22529,0,0,0,0,1,21706,0,0,0,0,1,266,32,393205,-,-,-,-,-,-,-,-
"인천광역시","2012",37,460942,2,22529,0,0,0,0,1,21706,0,0,0,0,1,266,33,416441,-,-,-,-,-,-,-,-
"인천광역시","2013",38,475848,2,22529,0,0,0,0,1,21706,0,0,0,0,1,266,34,431347,-,-,-,-,-,-,-,-
"인천광역시","2014",39,443698,2,22529,0,0,0,0,1,21706,0,0,0,0,1,266,35,399197,-,-,-,-,-,-,-,-
"인천광역시","2015",41,447211,1,21706,0,0,1,8225,0,0,0,0,0,0,1,266,38,417014,-,-,-,-,-,-,-,-
"인천광역시","2016",58,489033,1,21706,0,0,1,8225,0,0,0,0,0,0,1,266,38,418350,0,0,0,0,17,40486,0,0
"인천광역시","2017",58,493294,1,21706,0,0,1,8225,0,0,0,0,0,0,1,266,38,422611,0,0,0,0,17,40486,0,0
"인천광역시","2018",55,454010,1,21706,-,-,1,8225,-,-,-,-,-,-,1,266,36,384877,-,-,-,-,16,38936,-,-
"인천광역시","2019",56,482207,1,21706,-,-,1,8225,-,-,-,-,-,-,1,266,38,413579,-,-,-,-,15,38431,-,-
"인천광역시","2020",59,490473,1,21706,-,-,2,15221,-,-,-,-,-,-,1,266,40,414849,-,-,-,-,15,38431,-,-
"인천광역시","2021",60,493753,1,21706,-,-,2,15221,-,-,-,-,-,-,1,266,41,418129,-,-,-,-,15,38431,-,-
"인천광역시","2022",60,487127,1,21706,-,-,4,23339,-,-,-,-,-,-,1,266,39,403385,-,-,-,-,15,38431,-,-
"인천광역시","2023",59,464818,1,21706,-,-,4,23339,-,-,-,-,-,-,1,266,38,381076,-,-,-,-,15,38431,-,-
"광주광역시","2005",6,215771,2,13733,1,79339,0,0,0,0,0,0,0,0,0,0,3,122699,-,-,-,-,-,-,-,-
"광주광역시","2006",6,215771,2,13733,1,79339,0,0,0,0,0,0,0,0,0,0,3,122699,-,-,-,-,-,-,-,-
"광주광역시","2007",6,215771,2,13733,1,79339,0,0,0,0,0,0,0,0,0,0,3,122699,-,-,-,-,-,-,-,-
"광주광역시","2008",9,278996,0,0,1,79245,0,0,0,0,0,0,0,0,0,0,8,199751,-,-,-,-,-,-,-,-
"광주광역시","2009",12,334703,0,0,1,79245,0,0,0,0,0,0,0,0,0,0,11,255458,-,-,-,-,-,-,-,-
"광주광역시","2010",13,414037,0,0,1,79245,0,0,0,0,0,0,0,0,0,0,12,334792,-,-,-,-,-,-,-,-
"광주광역시","2011",13,414037,0,0,1,79245,0,0,0,0,0,0,0,0,0,0,12,334792,-,-,-,-,-,-,-,-
"광주광역시","2012",16,464925,0,0,1,79245,0,0,0,0,0,0,0,0,0,0,15,385680,-,-,-,-,-,-,-,-
"광주광역시","2013",17,466280,0,0,1,79245,0,0,0,0,0,0,0,0,0,0,16,387035,-,-,-,-,-,-,-,-
"광주광역시","2014",17,466280,0,0,1,79245,0,0,0,0,0,0,0,0,0,0,16,387035,-,-,-,-,-,-,-,-
"광주광역시","2015",17,466280,0,0,0,0,0,0,1,79245,0,0,0,0,0,0,16,387035,-,-,-,-,-,-,-,-
"광주광역시","2016",19,474614,0,0,0,0,0,0,1,79245,0,0,0,0,0,0,16,387035,0,0,0,0,2,8334,0,0
"광주광역시","2017",20,476315,0,0,0,0,0,0,1,79245,0,0,0,0,0,0,16,387035,0,0,0,0,3,10035,0,0
"광주광역시","2018",20,476315,-,-,-,-,-,-,1,79245,-,-,-,-,-,-,16,387035,-,-,-,-,3,10035,-,-
"광주광역시","2019",21,495261,-,-,-,-,-,-,1,79245,-,-,-,-,-,-,17,405981,-,-,-,-,3,10035,-,-
"광주광역시","2020",22,505211,-,-,-,-,-,-,1,79245,-,-,-,-,-,-,17,405981,-,-,-,-,4,19985,-,-
"광주광역시","2021",22,505211,-,-,-,-,-,-,1,79245,-,-,-,-,-,-,17,405981,-,-,-,-,4,19985,-,-
"광주광역시","2022",24,573690,-,-,-,-,-,-,1,79245,-,-,-,-,-,-,19,474460,-,-,-,-,4,19985,-,-
"광주광역시","2023",25,574421,-,-,-,-,-,-,1,79245,-,-,-,-,-,-,20,475191,-,-,-,-,4,19985,-,-
"대전광역시","2005",4,31855,0,0,1,7881,2,21879,0,0,0,0,0,0,0,0,1,2095,-,-,-,-,-,-,-,-
"대전광역시","2006",4,31855,0,0,1,7881,2,21879,0,0,0,0,0,0,0,0,1,2095,-,-,-,-,-,-,-,-
"대전광역시","2007",6,59362,0,0,1,7881,2,21879,0,0,0,0,0,0,0,0,3,29602,-,-,-,-,-,-,-,-
"대전광역시","2008",8,79251,0,0,1,7881,2,21879,0,0,0,0,0,0,0,0,5,49491,-,-,-,-,-,-,-,-
"대전광역시","2009",15,102364,0,0,1,7881,2,21879,0,0,0,0,0,0,0,0,12,72604,-,-,-,-,-,-,-,-
"대전광역시","2010",15,102364,0,0,1,7881,2,21879,0,0,0,0,0,0,0,0,12,72604,-,-,-,-,-,-,-,-
"대전광역시","2011",14,94483,0,0,0,0,2,21879,0,0,0,0,0,0,0,0,12,72604,-,-,-,-,-,-,-,-
"대전광역시","2012",13,87653,0,0,0,0,2,21879,0,0,0,0,0,0,0,0,11,65774,-,-,-,-,-,-,-,-
"대전광역시","2013",13,87653,0,0,0,0,2,21879,0,0,0,0,0,0,0,0,11,65774,-,-,-,-,-,-,-,-
"대전광역시","2014",13,87653,0,0,0,0,2,21879,0,0,0,0,0,0,0,0,11,65774,-,-,-,-,-,-,-,-
"대전광역시","2015",11,84641,0,0,0,0,0,0,0,0,2,21879,0,0,0,0,9,62762,-,-,-,-,-,-,-,-
"대전광역시","2016",15,96588,0,0,0,0,0,0,0,0,2,21879,0,0,0,0,9,62762,0,0,0,0,4,11947,0,0
"대전광역시","2017",16,97140,0,0,0,0,0,0,0,0,2,21879,0,0,0,0,10,63314,0,0,0,0,4,11947,0,0
"대전광역시","2018",15,94183,-,-,-,-,-,-,-,-,2,21879,-,-,-,-,9,60357,-,-,-,-,4,11947,-,-
"대전광역시","2019",16,95013,-,-,-,-,-,-,-,-,2,21879,-,-,1,830,9,60357,-,-,-,-,4,11947,-,-
"대전광역시","2020",16,95013,-,-,-,-,-,-,-,-,2,21879,-,-,1,830,9,60357,-,-,-,-,4,11947,-,-
"대전광역시","2021",16,91874,-,-,-,-,-,-,-,-,2,21879,-,-,1,830,9,57218,-,-,-,-,4,11947,-,-
"대전광역시","2022",16,87531,-,-,-,-,-,-,-,-,2,21879,-,-,1,830,8,51818,-,-,-,-,5,13004,-,-
