"통계분류(1)","통계분류(2)",시점,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"연령","40대",2021,1028,1351,537,1763,251,417,643,129,8374,5423,1403,3675,2455,3653,4076,4656,2305
"연령","40대",2022,1351,2002,539,1871,184,538,810,210,9219,6825,2194,4624,3219,4698,4339,4698,2678
"연령","40대",2023,1249,2078,559,1953,309,652,605,205,9593,7899,2143,4505,3534,5050,5286,5634,2281
"연령","50대",2018,471,2548,572,1857,433,756,333,89,3719,7498,2337,4448,3247,4997,4130,5784,2544
"연령","50대",2019,1436,2428,652,1941,632,770,524,151,6080,7241,2802,4547,4185,5333,5651,6024,2760
"연령","50대",2020,690,1115,403,1330,381,331,577,128,5963,3926,1647,3130,2212,3294,2927,3414,1911
"연령","50대",2021,921,1255,500,1357,238,530,750,106,7448,4583,1977,3280,2651,3511,4128,4820,1970
"연령","50대",2022,1141,1975,550,1749,215,475,750,120,8245,6904,2204,3809,2703,4651,5578,5437,2954
"연령","50대",2023,1010,2084,546,1716,258,869,852,235,8836,7332,2647,4376,3473,5245,5208,6164,2642
"연령","60대",2018,674,1142,194,1008,212,535,315,55,3109,3604,1353,2788,2154,3158,2474,4081,1364
"연령","60대",2019,962,1264,515,1356,319,297,457,78,3596,3672,1405,3178,2245,3148,3204,3324,1272
"연령","60대",2020,538,578,278,803,137,298,302,34,3413,2387,799,1641,1291,1921,1698,2033,520
"연령","60대",2021,563,606,356,762,132,278,485,33,4529,3000,1110,1885,1495,2525,2440,2779,1138
"연령","60대",2022,877,839,446,1157,181,253,587,156,5422,4041,1539,3000,2030,3198,3146,3919,1534
"연령","60대",2023,860,1274,545,1421,257,443,782,136,6405,5355,2061,3527,2715,3958,4032,4611,2174
"연령","70세 이상",2018,262,834,149,680,214,171,241,60,1885,2394,779,1919,1259,2076,1802,2524,984
"연령","70세 이상",2019,773,758,294,522,213,226,387,61,2707,2173,960,1838,1695,1896,2120,2180,608
