"시점","통계분류(1)",통계분류(2),공연장수,가동률
"2021","지역1",충남,50,17.3
"2021","지역1",전북,62,21.3
"2021","지역1",전남,53,16.6
"2021","지역1",경북,57,20.8
"2021","지역1",경남,71,19.2
"2021","지역1",제주,22,46.7
"2021","지역2",서울,409,48.3
"2021","지역2",경기/인천,218,21.5
"2021","지역2",강원,62,21.6
"2021","지역2",충청,122,28.8
"2021","지역2",전라,155,22.8
"2021","지역2",경상,293,28.6
"2021","지역2",제주,22,46.7
"2021","지역3",특별/광역시,701,42.3
"2021","지역3",광역도,580,21.7
"2021","지역4",수도권,627,39
"2021","지역4",비수도권,654,27.2
"2021","시설특성",중앙정부,39,65.8
"2021","시설특성",문예회관,452,25.1
"2021","시설특성",기타(공공),254,16.4
"2021","시설특성",대학로,117,67.6
"2021","시설특성",민간(대학로 외),419,38.8
"2021","운영주체2",공공,684,25.1
"2021","운영주체2",민간,597,42
"2022","전체",소계,1328,43.3
"2022","지역1",서울,429,63.9
"2022","지역1",부산,73,44.9
"2022","지역1",대구,75,42
"2022","지역1",인천,44,30.9
"2022","지역1",광주,43,39.5
"2022","지역1",대전,39,53.7
"2022","지역1",울산,20,37.5
"2022","지역1",세종,5,40.9
"2022","지역1",경기,182,33.4
"2022","지역1",강원,64,29.1
"2022","지역1",충북,29,35.6
"2022","지역1",충남,52,19.1
"2022","지역1",전북,62,30.4
"2022","지역1",전남,52,22.2
"2022","지역1",경북,58,16.6
"2022","지역1",경남,78,26.3
"2022","지역1",제주,23,65.3
"2022","지역2",서울,429,63.9
"2022","지역2",경기/인천,226,32.9
"2022","지역2",강원,64,29.1
"2022","지역2",충청,125,34.6
"2022","지역2",전라,157,30.2
"2022","지역2",경상,304,33.5
"2022","지역2",제주,23,65.3
"2022","지역3",특별/광역시,728,54.9
"2022","지역3",광역도,600,29.2
"2022","지역4",수도권,655,53.2
"2022","지역4",비수도권,673,33.6
"2022","시설특성",중앙정부,40,66.1
"2022","시설특성",문예회관,467,30.8
"2022","시설특성",기타(공공),259,26.9
"2022","시설특성",대학로,127,85.4
"2022","시설특성",민간(대학로 외),435,52
"2022","운영주체2",공공,716,31.8
"2022","운영주체2",민간,612,56.7
