,포지션,회사명,지역명,경력,링크
514,Backend/Application Engineer · Lunit INSIGHT,루닛(Lunit),서울 강남구 , 경력 7년 이상,/wd/242023
515,AI/스마트팩토리 프로젝트 매니저(PM),아하랩스,경기 성남시 , 경력 5년 이상,/wd/257755
516,AI ML 엔지니어,비상교육,경기 과천시 , 경력 5-7년,/wd/257689
517,IT 인프라 엔지니어(SE),비상교육,경기 과천시 , 경력 4년 이상,/wd/257664
518,Devops 인프라엔지니어,비상교육,경기 과천시 , 경력 4년 이상,/wd/257654
519,[Tech] 품질개발팀 QA Engineer,우아한형제들(배달의민족),서울 송파구 , 경력 4년 이상,/wd/257603
520,[Tech] AI실 추천프로덕트팀 데이터엔지니어,우아한형제들(배달의민족),서울 송파구 , 경력 4년 이상,/wd/257605
521,딜리버리최적화팀 데이터분석 지원 담당자,우아한형제들(배달의민족),서울 송파구 , 신입-경력 10년,/wd/257606
522,백엔드 엔지니어,두어스,서울 서초구 , 경력 1-10년,/wd/242470
523,데이터 엔지니어,컬리,서울 강남구 , 경력 5-7년,/wd/246566
524,Lead Audio DSP Engineer (음성 신호처리 및 응용 시스템 개발),포티투닷(42dot),경기 , 경력 10년 이상,/wd/255033
525,Audio DSP Engineer (음성 신호처리 및 응용 시스템 개발),포티투닷(42dot),경기 , 경력 10년 이상,/wd/257396
526,AI 개발자,일만백만,서울 강남구 , 경력 3-10년,/wd/230871
527,SW개발 AI 개발자,더블티,경기 수원시 , 신입,/wd/257108
528,AI/ML Product Engineer,부릉,서울 서초구 , 경력 3-15년,/wd/257004
529,[인턴][포카마켓] 백엔드 Django 개발자,인플루디오,서울 마포구 , 신입,/wd/256404
530,[Mantra]  기계 학습 엔지니어/연구원_근무지 일본,원티드 재팬(wanted),서울 , 경력 5-15년,/wd/257115
531,보안 위협 분석 플랫폼 개발 / 데이터 처리 & ML 모델 연구(전문연구요원 가능),시큐레터,경기 성남시 , 경력 2년 이상,/wd/256992
532,DBA,디어유,서울 강남구 , 경력 5-10년,/wd/256921
533,HATIV Backend 개발자 (시니어),뷰노,서울 서초구 , 경력 2-12년,/wd/256772
534,HATIV Backend 개발자 (주니어),뷰노,서울 서초구 , 경력 2-5년,/wd/256770
535,Python 개발자,이수시스템,서울 서초구 , 경력 7-15년,/wd/256685
536,Backend Engineer,블루밍그레이스,서울 강남구 , 경력 3-10년,/wd/256114
537,AI 엔지니어,인플루엔셜(윌라),서울 서초구 , 경력 2-10년,/wd/256529
538,Backend 개발자,티비유,서울 서초구 , 경력 1년 이상,/wd/239334
539,[포카마켓] 백엔드 Django 개발자 (2년이상),인플루디오,서울 마포구 , 경력 2-6년,/wd/230788
540,Python Backend Engineer,에임(AIM),서울 강남구 , 신입-경력 7년,/wd/2447
541,AI/ML Research Engineer (3년이상),제이앤피메디(JNPMEDI),인천 연수구 , 경력 3년 이상,/wd/245214
