,포지션,회사명,지역명,경력,링크
228,프론트엔드 프로덕트 엔지니어 (2년 이상),슬로그업,서울 마포구 , 경력 2-5년,/wd/267217
229,백엔드 개발자 (3년 내외),슬로그업,서울 마포구 , 경력 2년 이상,/wd/267215
230,IT 거버넌스 담당자,빗썸,서울 강남구 , 경력 5-10년,/wd/237589
231,DBA,부릉,서울 서초구 , 경력 5-15년,/wd/267206
232,프론트엔드 개발 (3년 이상),하이테커,서울 성동구 , 경력 3-5년,/wd/248883
233,신규 런처 클라이언트 개발자,라인게임즈,서울 강남구 , 경력 3-10년,/wd/267134
234,[대전] 솔루션 풀스택(웹) 개발자 (신입~6년),지란지교데이터,대전 유성구 , 신입-경력 6년,/wd/267166
235,데이터 엔지니어,페이히어,서울 강남구 , 경력 2년 이상,/wd/267167
236,QA 엔지니어,페이히어,서울 강남구 , 신입-경력 2년,/wd/264724
237,인프라 엔지니어,아파트너,서울 구로구 , 경력 3년 이상,/wd/263896
238,[쿠팡] Staff Data Scientist (Biz Analytics),쿠팡,서울 송파구 , 경력 7-20년,/wd/267159
239,[인턴] 솔루션 개발자 - 대전,지란지교데이터,대전 유성구 , 신입,/wd/267156
240,모터제어 엔지니어,긴트,경기 성남시 , 경력 5-10년,/wd/245337
241,"R&D 연구기획(국책과제, 특허)",긴트,경기 성남시 , 경력 6-12년,/wd/251988
242,[인턴] 솔루션 웹 개발자 - 대전,지란지교데이터,대전 유성구 , 신입,/wd/267155
243,ERP시스템 통계분석 운영(BI/DW) (4년이상),스카이웨어,서울 마포구 , 경력 4-10년,/wd/263284
244,SI 웹 개발자 (만3년-6년 미만),스카이웨어,서울 마포구 , 경력 3-6년,/wd/263259
245,AI 소프트웨어 엔지니어,에버엑스,서울 강남구 , 경력 1년 이상,/wd/264326
246,사내 시스템 프론트엔드 개발자,펜타시큐리티,서울 영등포구 , 경력 5년 이상,/wd/267151
247,Financial Analyst,프렉스코리아(Prex),서울 영등포구 , 신입 이상,/wd/259893
248,IT Technical Project Manager (3년 이상),소프트스퀘어드,서울 서초구 , 경력 3-10년,/wd/256237
249,웹 풀스택 개발자(7~9년),디플래닉스(Dplanex),서울 서초구 , 경력 7-9년,/wd/267145
250,프론트엔드 리드 개발자 (6년 이상),씨드앤,서울 성동구 , 경력 6년 이상,/wd/266098
251,프론트엔드 개발자 (8년 이상),한솔피엔에스,서울 강서구 , 경력 8-12년,/wd/267144
252,react naitve 개발자 4~7년,타운즈,서울 강남구 , 경력 4-7년,/wd/267135
253,프론트엔드 개발자(4년 이상),에이치나인,서울 성동구 , 경력 4년 이상,/wd/266145
254,백엔드 개발자,플랭,서울 서초구 , 경력 3-6년,/wd/267044
255,Machine Learning Software Engineer (HPCNT AI),하이퍼커넥트,서울 강남구 , 경력 2-13년,/wd/259915
256,AI Engineer (병특 전문연구요원가능),코코네엠(coconeM),서울 강남구 , 신입 이상,/wd/255120
257,Server Engineer,코코네엠(coconeM),서울 강남구 , 경력 5년 이상,/wd/243761
258,[라이브클래스] Back-end Engineer,퓨쳐스콜레,서울 성동구 , 경력 3-7년,/wd/267127
259,통합로그관리 SW 개발자,브레인즈컴퍼니,서울 성동구 , 경력 5-10년,/wd/267129
260,SIEM 룰 엔지니어,로그프레소,서울 마포구 , 경력 2-15년,/wd/249671
