기준일자,주요국가대륙명,국가명,목적구분,인원,전년동기,증감률
2018,교포,연도대륙,전체,251073.0,268854.0,-6.6
2018,교포,교포,관광,0.0,0.0,0.0
2018,교포,교포,상용,0.0,0.0,0.0
2018,교포,교포,공용,0.0,0.0,0.0
2018,교포,교포,유학연수,0.0,0.0,0.0
2018,교포,교포,기타,251073.0,268854.0,-6.6
2018,교포,교포,전체,251073.0,268854.0,-6.6
2019,대륙전체,연도,관광,1.4432275E7,1.2414348E7,16.3
2019,대륙전체,연도,상용,178445.0,175547.0,1.7
2019,대륙전체,연도,공용,74210.0,61017.0,21.6
2019,대륙전체,연도,유학연수,375661.0,332011.0,13.1
2019,대륙전체,연도,기타,2442165.0,2363956.0,3.3
2019,대륙전체,연도,전체,1.7502756E7,1.5346879E7,14.0
2019,아시아,연도대륙,관광,1.2353217E7,1.0516389E7,17.5
2019,아시아,연도대륙,상용,147571.0,145477.0,1.4
2019,아시아,연도대륙,공용,33592.0,28127.0,19.4
2019,아시아,연도대륙,유학연수,344057.0,304917.0,12.8
2019,아시아,연도대륙,기타,1712041.0,1606539.0,6.6
2019,아시아,연도대륙,전체,1.4590478E7,1.2601449E7,15.8
2019,아시아,중국,관광,4893429.0,3701973.0,32.2
2019,아시아,중국,상용,43995.0,42257.0,4.1
2019,아시아,중국,공용,4955.0,4014.0,23.4
2019,아시아,중국,유학연수,238209.0,213930.0,11.3
2019,아시아,중국,기타,842433.0,827338.0,1.8
2019,아시아,중국,전체,6023021.0,4789512.0,25.8
2019,아시아,일본,관광,3179436.0,2864110.0,11.0
2019,아시아,일본,상용,23893.0,23368.0,2.2
2019,아시아,일본,공용,2041.0,2268.0,-10.0
2019,아시아,일본,유학연수,12845.0,10569.0,21.5
2019,아시아,일본,기타,53491.0,48212.0,10.9
2019,아시아,일본,전체,3271706.0,2948527.0,11.0
2019,아시아,대만,관광,1238842.0,1095329.0,13.1
2019,아시아,대만,상용,993.0,907.0,9.5
2019,아시아,대만,공용,189.0,196.0,-3.6
2019,아시아,대만,유학연수,4847.0,4187.0,15.8
2019,아시아,대만,기타,15622.0,14714.0,6.2
2019,아시아,대만,전체,1260493.0,1115333.0,13.0
2019,아시아,홍콩,관광,679916.0,669960.0,1.5
2019,아시아,홍콩,상용,684.0,603.0,13.4
2019,아시아,홍콩,공용,42.0,27.0,55.6
2019,아시아,홍콩,유학연수,2772.0,2420.0,14.5
2019,아시아,홍콩,기타,11520.0,10808.0,6.6
2019,아시아,홍콩,전체,694934.0,683818.0,1.6
2019,아시아,마카오,관광,51926.0,52180.0,-0.5
2019,아시아,마카오,상용,19.0,22.0,-13.6
2019,아시아,마카오,공용,1.0,1.0,0.0
2019,아시아,마카오,유학연수,288.0,235.0,22.6
2019,아시아,마카오,기타,228.0,393.0,-42.0
2019,아시아,마카오,전체,52462.0,52831.0,-0.7
2019,아시아,필리핀,관광,285080.0,261721.0,8.9
2019,아시아,필리핀,상용,2142.0,2396.0,-10.6
2019,아시아,필리핀,공용,1899.0,1667.0,13.9
2019,아시아,필리핀,유학연수,1392.0,1317.0,5.7
2019,아시아,필리핀,기타,213354.0,193067.0,10.5
2019,아시아,필리핀,전체,503867.0,460168.0,9.5
2019,아시아,인도네시아,관광,192606.0,171969.0,12.0
2019,아시아,인도네시아,상용,1889.0,2733.0,-30.9
2019,아시아,인도네시아,공용,2692.0,1189.0,126.4
2019,아시아,인도네시아,유학연수,3146.0,2732.0,15.2
2019,아시아,인도네시아,기타,78242.0,70444.0,11.1
2019,아시아,인도네시아,전체,278575.0,249067.0,11.8
2019,아시아,태국,관광,484496.0,482726.0,0.4
2019,아시아,태국,상용,651.0,551.0,18.1
2019,아시아,태국,공용,3861.0,2896.0,33.3
2019,아시아,태국,유학연수,1741.0,1437.0,21.2
2019,아시아,태국,기타,80861.0,71302.0,13.4
2019,아시아,태국,전체,571610.0,558912.0,2.3
2019,아시아,베트남,관광,391836.0,322926.0,21.3
2019,아시아,베트남,상용,12887.0,15544.0,-17.1
2019,아시아,베트남,공용,4267.0,4038.0,5.7
2019,아시아,베트남,유학연수,45013.0,37489.0,20.1
2019,아시아,베트남,기타,99728.0,77821.0,28.2
